plot_number,map_area_sqm,recorded_area_sqm,pot_kharaba_sqm,expected_area_sqm,area_ratio,classification
1,7233.4,6200.0,0.0,6200.0,1.1666774193548386,placement
10,1508.1,1800.0,0.0,1800.0,0.8378333333333333,placement
100,10950.1,8200.0,1400.0000000000002,9600.0,1.1406354166666668,placement
1000,13359.1,15100.0,0.0,15100.0,0.8847086092715232,placement
1001,30490.4,29600.0,500.0,30100.0,1.0129700996677742,placement
1002,25414.8,24700.0,200.0,24900.0,1.0206746987951807,placement
1003,14772.9,14800.0,0.0,14800.0,0.9981689189189189,placement
1004,33082.1,34000.0,0.0,34000.0,0.9730029411764706,placement
1005,9505.4,11000.0,0.0,11000.0,0.8641272727272727,placement
1006,597.0,200.0,0.0,200.0,2.985,area_error
1007,9924.8,10000.0,0.0,10000.0,0.9924799999999999,placement
1008,11052.6,11100.0,200.0,11300.0,0.9781061946902655,placement
1009,13479.6,12500.0,300.0,12800.0,1.05309375,placement
101,331.1,500.0,0.0,500.0,0.6622,uncertain
1010,15271.8,14700.0,300.0,15000.0,1.01812,placement
1011,12836.7,12500.0,200.0,12700.0,1.010763779527559,placement
1012,66060.5,64800.0,1700.0000000000002,66500.0,0.993390977443609,placement
1013,19737.6,21000.0,850.0000000000001,21850.0,0.9033226544622425,placement
1014,749.0,200.0,0.0,200.0,3.745,area_error
1015,32068.9,28700.0,0.0,28700.0,1.1173832752613242,placement
1016,15374.5,13900.0,100.0,14000.0,1.0981785714285714,placement
1017,27915.0,26700.0,0.0,26700.0,1.0455056179775282,placement
1018,32447.4,34500.0,0.0,34500.0,0.940504347826087,placement
1019,39440.5,40000.0,400.0,40400.0,0.97625,placement
102,13658.9,13400.0,800.0,14200.0,0.961894366197183,placement
1020,37744.5,41800.0,200.0,42000.0,0.8986785714285714,placement
1021,24126.2,18700.0,100.0,18800.0,1.283308510638298,uncertain
1022,59518.7,49300.0,2000.0,51300.0,1.1602085769980506,placement
1023,31052.8,24100.0,200.0,24300.0,1.2778930041152263,uncertain
